comparison,feature,test,statistic,p_value,source_mean,target_mean,mean_delta,minus_log10_p
cleveland_train_vs_hungarian,chol,ks_2samp,0.06441899324653627,0.6750964124325243,249.70283018867926,250.84870848708488,1.14587829840562,0.17063419991356168
cleveland_train_vs_hungarian,exang,chi_square,0.0960684453481917,0.7565996627751155,0.32075471698113206,0.3037542662116041,-0.01700045076952794,0.12113385661311236
cleveland_train_vs_swiss,chol,ks_2samp,1.0,9.944794095742423e-95,249.70283018867926,0.0,-249.70283018867926,94.00240420439562
cleveland_train_vs_swiss,restecg,chi_square,99.74963482158817,2.1859590026552136e-22,1.0141509433962264,0.36065573770491804,-0.6534952056913084,21.6603579874401
cleveland_train_vs_swiss,thalach,ks_2samp,0.464583977729663,1.1732064836810092e-15,149.6933962264151,121.55737704918033,-28.136019177234772,14.930625545572918
cleveland_train_vs_swiss,cp,chi_square,32.9476264153879,3.3036474738844334e-07,3.1839622641509435,3.6991869918699187,0.5152247277189752,6.481006301640682
cleveland_train_vs_swiss,sex,chi_square,22.187178516102044,2.4731990598631083e-06,0.6886792452830188,0.9186991869918699,0.2300199417088511,5.606740927261446
cleveland_train_vs_swiss,thal,chi_square,20.92624577229023,2.857087012907004e-05,4.672985781990521,5.788732394366197,1.115746612375676,4.544076532928449
cleveland_train_vs_swiss,ca,chi_square,12.714971698113208,0.005295349307309711,0.6320754716981132,1.6,0.9679245283018869,2.276105386409476
cleveland_train_vs_swiss,slope,chi_square,8.80221627710504,0.0122637424447248,1.5849056603773586,1.8018867924528301,0.21698113207547154,1.9113769788328518
cleveland_train_vs_swiss,exang,chi_square,4.448808937329423,0.034925597810976004,0.32075471698113206,0.4426229508196721,0.12186823383854006,1.4568561514618517
cleveland_train_vs_swiss,oldpeak,ks_2samp,0.132236736010321,0.12793190840232366,0.9971698113207547,0.6538461538461537,-0.3433236574746009,0.8930211215514835
cleveland_train_vs_swiss,trestbps,ks_2samp,0.12774832371744896,0.1463489120881571,130.02358490566039,130.20661157024793,0.18302666458754402,0.8346105016269524
cleveland_train_vs_swiss,age,ks_2samp,0.08448381653627854,0.5965959748841637,54.613207547169814,55.31707317073171,0.7038656235618959,0.22431968106362038
cleveland_train_vs_swiss,fbs,chi_square,0.012107516250406448,0.9123822840489032,0.12264150943396226,0.10416666666666667,-0.018474842767295593,0.039823156116235256
